case_id,case_number,crime_type,crime_subtype,report_date,incident_date,status,severity,financial_loss_usd,city_id,victim_id,suspect_id,investigator_id,description
48,CYB-2023-0048,Ransomware,NGO Attack,2023-07-11,2023-07-09,Closed,Medium,65000,7,8,18,3,Non-profit donor database encrypted
49,CYB-2023-0049,Phishing,Tax Department Phishing,2023-07-15,2023-07-13,Open,High,0,8,9,19,4,Fake Income Tax refund portal harvesting credentials
50,CYB-2023-0050,Online Fraud,Real Estate Fraud,2023-07-19,2023-07-17,Closed,High,320000,9,10,20,5,Fake property listing defrauded NRI buyers
51,CYB-2023-0051,Hacking,Supply Chain Attack,2023-07-23,2023-07-21,Under Investigation,Critical,0,10,11,21,6,Software vendor compromised to attack 50 clients
52,CYB-2023-0052,Online Fraud,Loan Fraud,2023-07-27,2023-07-25,Closed,Medium,55000,1,12,22,7,Instant loan apps harvesting contacts for extortion
53,CYB-2023-0053,Ransomware,Airport Systems,2023-07-31,2023-07-29,Under Investigation,Critical,0,2,13,23,8,Regional airport check-in and display systems hit
54,CYB-2023-0054,Identity Theft,Voter ID Fraud,2023-08-04,2023-08-02,Closed,Medium,0,3,14,24,9,Fake voter registration used for benefits fraud
55,CYB-2023-0055,Cyberstalking,Deepfake Harassment,2023-08-08,2023-08-06,Closed,High,0,4,15,25,10,Deepfake videos created to harass female journalist
56,CYB-2023-0056,Online Fraud,Child Education Fraud,2023-08-12,2023-08-10,Closed,Medium,28000,5,16,26,1,Fake scholarship portal collected fees from parents
57,CYB-2023-0057,Hacking,NGO Data Breach,2023-08-16,2023-08-14,Closed,High,0,6,17,27,2,Human rights organization donor list leaked
58,CYB-2023-0058,Phishing,EPFO Phishing,2023-08-20,2023-08-18,Closed,Medium,42000,7,18,28,3,Fake EPFO portal used to steal provident fund
59,CYB-2023-0059,Online Fraud,Donation Fraud,2023-08-24,2023-08-22,Closed,Low,18000,8,19,29,4,Fake charity for flood victims collected donations
60,CYB-2023-0060,Ransomware,Logistics Company,2023-08-28,2023-08-26,Closed,High,175000,9,20,30,5,Courier tracking systems encrypted nationwide
61,CYB-2023-0061,Identity Theft,Corporate Espionage,2023-09-01,2023-08-30,Under Investigation,Critical,0,10,21,1,6,Trade secrets stolen via insider data exfiltration
62,CYB-2023-0062,Online Fraud,Gaming Fraud,2023-09-05,2023-09-03,Closed,Low,8500,1,22,2,7,In-game currency scam defrauded teenagers
63,CYB-2023-0063,Phishing,UIDAI Phishing,2023-09-09,2023-09-07,Open,High,0,2,23,3,8,Fake Aadhaar update portal capturing biometrics
64,CYB-2023-0064,Hacking,Stock Exchange Attempt,2023-09-13,2023-09-11,Closed,Critical,0,3,24,4,9,Unsuccessful intrusion attempt on trading systems
65,CYB-2023-0065,Online Fraud,Solar Panel Fraud,2023-09-17,2023-09-15,Closed,Medium,95000,4,25,5,10,Fake govt scheme for solar panels took advance payments
66,CYB-2023-0066,Ransomware,Media House,2023-09-21,2023-09-19,Closed,High,230000,5,26,6,1,News channel broadcast systems held hostage before election
67,CYB-2023-0067,Identity Theft,Drug Trafficking Link,2023-09-25,2023-09-23,Under Investigation,Critical,0,6,27,7,2,Stolen identities used to ship controlled substances
68,CYB-2023-0068,Cyberstalking,Minor Victim,2023-09-29,2023-09-27,Closed,Critical,0,7,28,8,3,15-year-old groomed and blackmailed online
69,CYB-2023-0069,Online Fraud,Mutual Fund Fraud,2023-10-03,2023-10-01,Closed,High,185000,8,29,9,4,SEBI impersonation for fake investment accounts
70,CYB-2023-0070,Phishing,Healthcare Phishing,2023-10-07,2023-10-05,Closed,Medium,35000,9,30,10,5,Fake hospital appointment portal stole payment details
71,CYB-2023-0071,Hacking,Water Treatment Plant,2023-10-11,2023-10-09,Under Investigation,Critical,0,10,31,11,6,Water supply SCADA accessed remotely from foreign IP
72,CYB-2023-0072,Online Fraud,Fake Police Extortion,2023-10-15,2023-10-13,Closed,Medium,22000,1,32,12,7,Caller posed as CBI officer to extort money
73,CYB-2023-0073,Ransomware,Food Chain,2023-10-19,2023-10-17,Closed,High,145000,2,33,13,8,Restaurant chain POS and inventory systems encrypted
74,CYB-2023-0074,Identity Theft,MSME Fraud,2023-10-23,2023-10-21,Closed,High,280000,3,34,14,9,Stolen GST credentials used for fraudulent ITC claims
75,CYB-2023-0075,Cyberbullying,School Cyberbullying,2023-10-27,2023-10-25,Closed,Low,0,4,35,15,10,Group of students bullied peer using WhatsApp group
76,CYB-2023-0076,Online Fraud,Agri Fraud,2023-10-31,2023-10-29,Closed,Medium,55000,5,36,16,1,Fake seed/fertilizer portal looted farmers
77,CYB-2023-0077,Phishing,Customs Phishing,2023-11-04,2023-11-02,Closed,High,48000,6,37,17,2,Fake customs duty email to collect import fees
78,CYB-2023-0078,Hacking,Cloud Misconfiguration,2023-11-08,2023-11-06,Closed,High,0,7,38,18,3,AWS S3 bucket exposed sensitive corporate data
79,CYB-2023-0079,Online Fraud,Fuel Subsidy Fraud,2023-11-12,2023-11-10,Closed,Medium,72000,8,39,19,4,Fake govt fuel subsidy portal stole banking credentials
80,CYB-2023-0080,Ransomware,Insurance Company,2023-11-16,2023-11-14,Closed,Critical,580000,9,40,20,5,Policy data of 200000 customers encrypted
81,CYB-2023-0081,Identity Theft,Bank KYC Fraud,2023-11-20,2023-11-18,Under Investigation,High,0,10,1,21,6,Fake KYC agents collecting Aadhaar and PAN data
82,CYB-2023-0082,Online Fraud,Festival Fraud,2023-11-24,2023-11-22,Closed,Low,15000,1,2,22,7,Fake Diwali gift offers collected credit card details
83,CYB-2023-0083,Phishing,RBI Phishing,2023-11-28,2023-11-26,Open,High,0,2,3,23,8,Fake RBI circular phishing for banking credentials
84,CYB-2023-0084,Cyberstalking,Workplace Stalking,2023-12-02,2023-11-30,Closed,Medium,0,3,4,24,9,Employee tracked by colleague using spyware on work laptop
85,CYB-2023-0085,Hacking,Defence Contractor,2023-12-06,2023-12-04,Under Investigation,Critical,0,4,5,25,10,APT group accessed sensitive defence procurement data
86,CYB-2023-0086,Online Fraud,Medical Fraud,2023-12-10,2023-12-08,Closed,Medium,42000,5,6,26,1,Fake online pharmacy selling counterfeit medicines
87,CYB-2023-0087,Ransomware,Education Board,2023-12-14,2023-12-12,Closed,Critical,390000,6,7,27,2,State board exam results database encrypted
88,CYB-2023-0088,Identity Theft,Diplomatic Fraud,2023-12-18,2023-12-16,Under Investigation,Critical,0,7,8,28,3,Stolen diplomat credentials used for access to secure zones
89,CYB-2023-0089,Online Fraud,Year End Fraud,2023-12-22,2023-12-20,Closed,Medium,68000,8,9,29,4,Fake year-end bonus email tricked employees
90,CYB-2023-0090,Phishing,Charity Phishing,2023-12-26,2023-12-24,Closed,Low,9500,9,10,30,5,Fake charity donation link during Christmas
91,CYB-2023-0091,Hacking,Smart City Systems,2024-01-05,2024-01-03,Under Investigation,Critical,0,10,11,1,6,Traffic and surveillance systems in smart city breached
92,CYB-2024-0092,Online Fraud,AI Voice Fraud,2024-01-10,2024-01-08,Closed,High,125000,1,12,2,7,AI-cloned voice of CEO used to authorize transfers
93,CYB-2024-0093,Ransomware,Port Authority,2024-01-15,2024-01-13,Under Investigation,Critical,0,2,13,3,8,Port logistics and customs systems disrupted
94,CYB-2024-0094,Identity Theft,Deepfake KYC Bypass,2024-01-20,2024-01-18,Closed,Critical,420000,3,14,4,9,Deepfake video used to bypass video KYC for loans
95,CYB-2024-0095,Online Fraud,Pig Butchering,2024-01-25,2024-01-23,Closed,Critical,1800000,4,15,5,10,Long-term crypto romance scam drained victim savings
96,CYB-2024-0096,Phishing,Zero-Day Exploit Phish,2024-01-30,2024-01-28,Under Investigation,Critical,0,5,16,6,1,Nation-state phishing exploiting zero-day vulnerability
97,CYB-2024-0097,Hacking,EV Charging Network,2024-02-04,2024-02-02,Closed,High,0,6,17,7,2,EV charging stations hacked to steal payment data
98,CYB-2024-0098,Online Fraud,AI Investment Fraud,2024-02-09,2024-02-07,Closed,Critical,950000,7,18,8,3,Fake AI trading bot promised guaranteed returns
99,CYB-2024-0099,Ransomware,State Police Dept,2024-02-14,2024-02-12,Under Investigation,Critical,0,8,19,9,4,Police FIR and evidence database encrypted
100,CYB-2024-0100,Identity Theft,Biometric Spoofing,2024-02-19,2024-02-17,Closed,Critical,680000,9,20,10,5,Synthetic fingerprint used to bypass biometric auth
